JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458697.41079,16.278,0.072,,V,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.898,0,1.08,Z,,18.839,,V1490 CYG,VVS,STD,,,,
2458697.41272,14.976,0.037,,R,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.399,0,1.08,Z,,18.296,,V1490 CYG,VVS,STD,,,,
2458697.41429,13.960,0.026,,I,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 13.933,0,1.07,Z,,18.891,,V1490 CYG,VVS,STD,,,,
2458698.42138,15.735,0.045,,V,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.898,0,1.06,Z,,18.850,,V1490 CYG,VVS,STD,,,,
2458698.42330,14.572,0.026,,R,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.399,0,1.06,Z,,18.312,,V1490 CYG,VVS,STD,,,,
2458698.42488,13.520,0.017,,I,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 13.933,0,1.05,Z,,18.888,,V1490 CYG,VVS,STD,,,,
2458699.43031,15.514,0.034,,V,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.898,0,1.04,Z,,18.855,,V1490 CYG,VVS,STD,,,,
2458699.43225,14.298,0.028,,R,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.399,0,1.04,Z,,18.602,,V1490 CYG,VVS,STD,,,,
2458699.43383,13.304,0.021,,I,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 13.933,0,1.04,Z,,19.285,,V1490 CYG,VVS,STD,,,,
2458700.34931,15.45,0.03,,V,TIA,,000BCM650,000BCM693,X23441IO,,0,,Z,12.897,14.340,,V1490 CYG,MCSE,STD,,,,
2458703.40377,15.325,0.031,,V,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.898,0,1.06,Z,,18.654,,V1490 CYG,VVS,STD,,,,
2458703.40569,14.195,0.018,,R,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.399,0,1.06,Z,,18.150,,V1490 CYG,VVS,STD,,,,
2458703.40728,13.184,0.016,,I,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 13.933,0,1.06,Z,,18.779,,V1490 CYG,VVS,STD,,,,
2458703.44134,15.426,0.074,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.153,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44159,15.316,0.072,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.323,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44185,15.369,0.075,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.029,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44210,15.432,0.077,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.194,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44236,15.378,0.082,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.026,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44261,15.361,0.076,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.112,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44287,15.320,0.075,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.000,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44312,15.325,0.071,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,15.926,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44337,15.308,0.075,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,15.991,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44363,15.296,0.074,,V,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X237,,0,,Z,14.306,16.045,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44861,14.349,0.049,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.350,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44887,14.365,0.047,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.337,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44912,14.365,0.048,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.522,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44938,14.351,0.048,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.295,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44963,14.352,0.048,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.413,,V1490 CYG,BAA-VSS,STD,,,,
2458703.44988,14.382,0.048,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.191,,V1490 CYG,BAA-VSS,STD,,,,
2458703.45014,14.378,0.047,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.193,,V1490 CYG,BAA-VSS,STD,,,,
2458703.45039,14.357,0.050,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.331,,V1490 CYG,BAA-VSS,STD,,,,
2458703.45065,14.357,0.047,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.316,,V1490 CYG,BAA-VSS,STD,,,,
2458703.45090,14.434,0.049,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.439,,V1490 CYG,BAA-VSS,STD,,,,
2458703.45116,14.365,0.049,,R,JSJA,,000-BMS-266 14.3,000.BMS-272  16.1,V1490 CYG AAVSO X230,,0,,Z,13.801,15.318,,V1490 CYG,BAA-VSS,STD,,,,
2458706.39931,15.478,0.047,,V,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.898,0,1.06,Z,,18.777,,V1490 CYG,VVS,STD,,,,
2458706.40123,14.178,0.021,,R,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 14.399,0,1.06,Z,,18.270,,V1490 CYG,VVS,STD,,,,
2458706.40281,13.211,0.018,,I,DUBF,,ENSEMBLE,UCAC4 672-086793,,STANDARD MAG:  K = 13.933,0,1.05,Z,,18.878,,V1490 CYG,VVS,STD,,,,
2458727.30417,16.87,0.06,,V,TIA,,000BCM650,000BCM693,X23441IO,SNR: 17,0,,Z,12.897,14.340,,V1490 CYG,MCSE,STD,,,,
2458727.53813,16.460,0.092,,V,DKS,,ENSEMBLE,000-BMS-267,X23135BCF,ERROR: V-C STDDEV+C POISSON IN QUAD; ENSEMBLE: 000-BMS-264;000-BMS-265;000-BMS-269;000-BMS-266,1,1.237,Z,13.575,14.913,,V1490 CYG,AAVSO,STD,,,,
2458727.54167,17.997,0.216,,B,DKS,,ENSEMBLE,000-BMS-267,X23137ED,ERROR: V+C POISSON; ENSEMBLE: 000-BMS-264;000-BMS-265;000-BMS-269;000-BMS-266,1,1.226,Z,14.563,16.170,,V1490 CYG,AAVSO,STD,,,,
2458729.71333,16.445,0.038,,V,EEY,,133,143,x23168aii,"""30.5cm SCT, ST-2K, Schuler-V, 60 sec X 6""",0,1.033,Z,13.328,14.296,,V1490 CYG,AAVSO,STD,,,,
2458731.34514,15.70,0.05,,V,TIA,,000BCM650,000BCM693,X23441IO,SNR: 19,0,,Z,12.897,14.340,,V1490 CYG,MCSE,STD,,,,
2458748.34792,15.38,0.05,,V,TIA,,000BCM650,000BCM693,X23441IO,,0,,Z,12.897,14.340,,V1490 CYG,MCSE,STD,,,,